name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,cost,listed_type,listed_city,price_segment,rating_category
Pathaan Sir,Yes,No,3.9,183,080 42244044,BTM,Quick Bites,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll","Rolls, Chinese",300,Delivery,Koramangala 4th Block,Low,Good
Gurukrupa Paratha House,Yes,No,3.1,332,"+91 9886419120
+91 9611349655",Domlur,Casual Dining,"Paratha, Naan, Kadai Paneer, Malai Kofta, Panneer Butter Masala, Lassi, Chicken Keema","North Indian, Chinese",500,Delivery,Koramangala 4th Block,Medium,Good
Noodle Panda,Yes,No,4.3,338,+91 8043029207,Koramangala 5th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums","Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800,Delivery,Koramangala 4th Block,Premium,Excellent
Odissi Restaurant,Yes,No,2.9,67,+91 8043744560,BTM,Casual Dining,"Egg Tadka, Roti, Veg Thali","Oriya, Bengali",500,Delivery,Koramangala 4th Block,Medium,Poor
Delite Chaat House,Yes,No,3.9,499,080 49652649,Koramangala 6th Block,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri","Street Food, Gujarati",300,Delivery,Koramangala 4th Block,Low,Good
Chaiwala,Yes,No,3.1,53,+91 8095855997,Koramangala 1st Block,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",Fast Food,100,Delivery,Koramangala 4th Block,Low,Good
Savoury - Sea Shell Restaurant,Yes,No,3.9,468,080 49994999,BTM,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup","Arabian, North Indian, Chinese, Fast Food",750,Delivery,Koramangala 4th Block,Premium,Good
C. K. Mega Hot Food,Yes,No,3.9,101,080 45128753,BTM,Casual Dining,"Chicken Lollipop, Garlic Butter Noodle","Chinese, Momos",600,Delivery,Koramangala 4th Block,Medium,Good
Grow Fit,Yes,No,4,457,080 39658868,Koramangala 6th Block,Delivery,"Pizza, Brownie, Chicken Biryani","Healthy Food, North Indian, Thai",500,Delivery,Koramangala 4th Block,Medium,Excellent
Yum In My Tum,Yes,No,4.2,105,+91 9108084789,BTM,Quick Bites,"Momos, Pizza Sandwich, Manchow Soup, Chowmein, Spring Roll, Noodles, White Pasta","Chinese, Continental, Fast Food, Healthy Food",300,Delivery,Koramangala 4th Block,Low,Excellent
ONE IN A MELON,Yes,No,4.1,414,+91 7406611666,Koramangala 7th Block,"Beverage Shop, Quick Bites","Sandwiches, Fruit Juices, Chaat, Paneer Sandwich, Watermelon Juice, Cheese Sandwich","Juices, Healthy Food",300,Delivery,Koramangala 4th Block,Low,Excellent
Tarbouche,Yes,No,4,269,080 49652642,Koramangala 5th Block,Kiosk,"Falafel, Lamb Kebab, Rolls, Fattoush, Teriyaki Chicken, Fries, Shawarma","Turkish, Rolls",300,Delivery,Koramangala 4th Block,Low,Excellent
Stoned Monkey,Yes,No,4.1,511,+91 9844993807,Koramangala 6th Block,Dessert Parlor,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream","Desserts, Ice Cream",500,Delivery,Koramangala 4th Block,Medium,Excellent
Szechuan Dragon,Yes,No,4,182,+91 9513187711,HSR,Delivery,"Salad, Fried Rice Chicken","Chinese, Thai, Momos",600,Delivery,Koramangala 4th Block,Medium,Excellent
Mustard Cafe,Yes,No,4.1,889,"+91 8040940831
+91 8606621987",Koramangala 3rd Block,Cafe,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers","Cafe, Continental, Burger, Salad, Healthy Food, Italian",800,Delivery,Koramangala 4th Block,Premium,Excellent
Ashirvaad Grand,Yes,No,4,114,"080 26844799
080 26847799",BTM,Quick Bites,"Masala Dosa, Panneer Butter Masala","Chinese, North Indian, South Indian",400,Delivery,Koramangala 4th Block,Medium,Excellent
Bubble Bee,Yes,No,3.9,47,080 49652716,HSR,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake","Beverages, Bubble Tea, Desserts",400,Delivery,Koramangala 4th Block,Medium,Good
Podi Idly,Yes,No,4.3,653,080 41330399,Koramangala 6th Block,Quick Bites,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",South Indian,250,Delivery,Koramangala 4th Block,Low,Excellent
Vijayalakshmi Veg,Yes,No,3.9,99,080 49653105,Jayanagar,Quick Bites,"Vada, Rava Idli, Masala Dosa, Coffee",South Indian,200,Delivery,Koramangala 4th Block,Low,Good
Aramane Donne Biriyani,Yes,No,3.9,191,"+91 7411877401
+91 7829588445",BTM,Quick Bites,"Egg Biryani, Donne Biryani","Biryani, Fast Food",300,Delivery,Koramangala 4th Block,Low,Good
The Pancake Story,Yes,No,4.6,119,080 49653454,Koramangala 1st Block,Dessert Parlor,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate","Desserts, Beverages",300,Delivery,Koramangala 4th Block,Low,Excellent
Barbeque Station,Yes,No,2.8,152,"+91 9739594937
080 40979004",Koramangala 7th Block,Casual Dining,"Biryani, Butter Naan","North Indian, Chinese, BBQ",700,Delivery,Koramangala 4th Block,Medium,Poor
Howlin Wolf,Yes,No,4.1,93,+91 7795839478,HSR,Casual Dining,"Chicken Steak, Burgers, Pizza, Salad, Fries, Garlic Bread, Chicken Nuggets","Italian, Mediterranean, European, Sandwich",700,Delivery,Koramangala 4th Block,Medium,Excellent
Beer Adda,Yes,Yes,4.3,548,"080 41106602
+91 9902888658",Koramangala 5th Block,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","North Indian, Chinese, Pizza",1000,Delivery,Koramangala 4th Block,Premium,Excellent
Moolehatti Donne Biryani Mane,Yes,No,3.6,218,080 65000346,HSR,Quick Bites,"Mutton Biryani, Chicken Kebab, Donne Biryani","Biryani, Chinese, North Indian, Kebab",400,Delivery,Koramangala 4th Block,Medium,Good
Rolla Rappa,Yes,No,3.6,176,+91 8147491682,HSR,Delivery,"Rolls, Tandoori Momos, Soya Chaap, Peri Peri Chicken Roll, Chicken Biryani, Fries, Paneer Roll","Biryani, Fast Food, Rolls, Momos",400,Delivery,Koramangala 4th Block,Medium,Good
Punjabi Nawabi,Yes,No,3.8,99,+91 9599698659,Koramangala 1st Block,Casual Dining,"Dal Makhani, Tikka, Saag, Naan, Makke Ki Roti",North Indian,500,Delivery,Koramangala 4th Block,Medium,Good
Khai Khai,Yes,No,4,52,+91 7619207120,HSR,Quick Bites,"Mutton Kosha, Kosha Mangsho",Bengali,450,Delivery,Koramangala 4th Block,Medium,Excellent
Indiana Burgers,Yes,No,3.5,47,+91 8197170008,Domlur,Delivery,"Burgers, Chicken Whopper Burger",Burger,300,Delivery,Koramangala 4th Block,Low,Good
Gorbandh,Yes,No,4,85,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400,Delivery,Koramangala 4th Block,Medium,Excellent
Zee5 Loft,Yes,No,4.4,798,080 49652919,HSR,Cafe,"Pizza, Pasta, Lemonade, Brownie, Chocolate Shake, Peri Peri Fries, Chicken Wings","Cafe, Burger, Pizza, Sandwich",700,Delivery,Koramangala 4th Block,Medium,Excellent
Tall Blonde French,Yes,No,4.3,723,+91 9880614444,Koramangala 5th Block,Quick Bites,"French Fries, Peri Peri Fries, Cup Cake, Potato Fries, Fried Cheese, Chicken Fries, Mexican Fries",Fast Food,400,Delivery,Koramangala 4th Block,Medium,Excellent
Mealer.in,Yes,No,4.2,701,080 43709452,Koramangala 4th Block,Delivery,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole","North Indian, Biryani",450,Delivery,Koramangala 4th Block,Medium,Excellent
New Gongura Grand,Yes,No,3.9,369,"+91 8904133998
+91 8904233998",HSR,Casual Dining,"Andhra Thali, Chicken Lollipop, Mutton Biryani, Chicken Boneless Biryani, Andhra Meal, Hyderabadi Biryani, Raita","Andhra, Biryani, North Indian, Chinese",550,Delivery,Koramangala 4th Block,Medium,Good
Belgian Waffle Factory,Yes,No,4.8,187,+91 9481511911,Koramangala 5th Block,Dessert Parlor,"Nachos, Chocolate Waffles, Nutella Waffle, Salsa, Oreo Waffle",Desserts,400,Delivery,Koramangala 4th Block,Medium,Excellent
Hyderabadi Biryani Hub,Yes,No,3.6,218,"+91 7259015811
+91 8722620990",BTM,Casual Dining,"Biryani, Raita","Biryani, North Indian, Chinese",600,Delivery,Koramangala 4th Block,Medium,Good
WTF,Yes,No,4.1,93,080 43758178,Koramangala 5th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600,Delivery,Koramangala 4th Block,Medium,Excellent
Biryani Palace,Yes,No,3.9,462,"+91 8105719991
+91 9742859940",HSR,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita","Biryani, Hyderabadi, Chinese",600,Delivery,Koramangala 4th Block,Medium,Good
What'sinaPita,Yes,No,3.9,232,+91 9108974600,Koramangala 1st Block,Delivery,"Falafel Wrap, Salads, Brownie Fudge, Fattoush Salad, Chicken Wings, Pita Bread, Paneer Wrap","Mediterranean, Middle Eastern, Wraps, Rolls",400,Delivery,Koramangala 4th Block,Medium,Good
Occasions,Yes,No,4.3,190,"080 48909425
+91 9322728728",Koramangala 4th Block,Bakery,"Cup Cake, Chocolate Truffle, Dutch Truffle, Blueberry Cheesecake","Bakery, Desserts",400,Delivery,Koramangala 4th Block,Medium,Excellent
Chowpatty,Yes,No,3.6,95,+91 9137367474,Koramangala 1st Block,Quick Bites,"Pav Bhaji, Dabeli, Paratha, Raj Kachori, Vada Pav","North Indian, Fast Food, Street Food",300,Delivery,Koramangala 4th Block,Low,Good
Le Gateau - The Cake Shop,Yes,No,4.4,537,080 45128785,Old Airport Road,Delivery,"Cup Cake, Fruit Gateau, Sponge Cake, Mango Cake, Eggless Cake, Chocolate Truffle Cake, Cheesecake","Desserts, Bakery",600,Delivery,Koramangala 4th Block,Medium,Excellent
Fritz Haber,Yes,No,4,402,+91 9632166833,HSR,Dessert Parlor,"Ice Cream Roll, Nitrogen Ice Cream, Roasted Almonds, Salted Caramel","Ice Cream, Desserts",450,Delivery,Koramangala 4th Block,Medium,Excellent
Krispy Kreme,Yes,No,3.9,150,080 25720338,HSR,Dessert Parlor,"Donut, Chocolate Doughnut, Chocolate Milkshake, Filter Coffee","Desserts, Beverages",300,Delivery,Koramangala 4th Block,Low,Good
Punjab Di Shaan,Yes,No,3,39,+91 7676510001,HSR,Casual Dining,"Roti, Thali, Paratha",North Indian,450,Delivery,Koramangala 4th Block,Medium,Good
House Stark Cafe,Yes,No,3.9,45,+91 9538735364,HSR,Cafe,Fries,"Cafe, Desserts, Fast Food, Burger",300,Delivery,Koramangala 4th Block,Low,Good
Magix's Parattha Roll,Yes,No,3.7,186,080 49652620,BTM,Quick Bites,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill","Fast Food, North Indian, Chinese, Mughlai, Rolls",400,Delivery,Koramangala 4th Block,Medium,Good
Smally's Resto Cafe,Yes,Yes,4.2,1701,"+91 7406772442
+91 7406772332",Koramangala 5th Block,Cafe,"Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak",650,Delivery,Koramangala 4th Block,Medium,Excellent
Ambur Star Briyani,Yes,No,3.7,118,"080 25535573
+91 8553067373",BTM,Quick Bites,"Mutton Biryani, Ambur Biryani, Chicken Biryani","Biryani, Kebab",400,Delivery,Koramangala 4th Block,Medium,Good
99 Pancakes,Yes,No,4.5,341,080 43729195,Koramangala 5th Block,"Dessert Parlor, Cafe","Pan Cake, Waffles, Nutella Pancakes","Desserts, Cafe",300,Delivery,Koramangala 4th Block,Low,Excellent
Hanoi - Vietnamese Cuisine,Yes,Yes,4.4,1804,"080 41405599
+91 9108801480",Koramangala 4th Block,Casual Dining,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup",Vietnamese,1000,Delivery,Koramangala 4th Block,Premium,Excellent
Tenzin Kitchen,Yes,No,4.2,530,+91 9731453282,Koramangala 7th Block,Quick Bites,"Momos, Noodles, Thukpa, Teriyaki Chicken, Chicken Chowmein, Clear Chicken Soup, Beef Chilli","Tibetan, Chinese, Momos",450,Delivery,Koramangala 4th Block,Medium,Excellent
Tibetan Kitchen,Yes,No,4.3,245,080 25524435,Koramangala 5th Block,Quick Bites,"Noodles, Pasta, Tibetan Momos, Clear Soup, Chicken Momo, Tibetan Thukpa, Tea","Tibetan, Chinese, Continental, Momos",600,Delivery,Koramangala 4th Block,Medium,Excellent
Dosa Plaza,Yes,No,3.8,140,080 49652583,Koramangala 5th Block,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200,Delivery,Koramangala 4th Block,Low,Good
PHEW (Play Hard Eat Wild),Yes,Yes,3.9,488,+91 9365075799,BTM,Cafe,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",700,Delivery,Koramangala 4th Block,Medium,Good
Bite Me Cupcakes,Yes,No,4.1,191,"+91 7259032026
+91 8197810123",Koramangala 4th Block,Dessert Parlor,"Cup Cake, Chocolate Cake",Desserts,300,Delivery,Koramangala 4th Block,Low,Excellent
Howrah Bridge,Yes,No,3.3,292,"080 41201717
+91 9986507665",HSR,Casual Dining,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha","Bengali, Seafood",600,Delivery,Koramangala 4th Block,Medium,Good
Roundup Cafe,Yes,Yes,4.2,493,080 49653438,Koramangala 5th Block,Cafe,"Mocktails, Salad, Coffee, Pizza, Meat Balls, Hot Chocolate, Pasta","Cafe, Continental, Beverages",800,Delivery,Koramangala 4th Block,Premium,Excellent
Foodiesthan,Yes,No,3.7,59,+91 9845055369,HSR,Cafe,"Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian",600,Delivery,Koramangala 4th Block,Medium,Good
The Waffles Hut,Yes,No,4.1,163,"080 25722900
+91 9108873135",HSR,Dessert Parlor,"Waffles, Vanilla Ice Cream, Brownie, Nutella Waffle, Velvet Crunch, Belgian Chocolate Waffle",Desserts,400,Delivery,Koramangala 4th Block,Medium,Excellent
Pin Me Down,Yes,Yes,4.5,804,"+91 8861568945
+91 8178831745",BTM,Casual Dining,"Paneer Tikka, Pizza, Mocktails, Tandoori Aloo, Chowmein, Pasta Alfredo, Murgh Patiala","Continental, Mexican, Chinese, North Indian",800,Delivery,Koramangala 4th Block,Premium,Excellent
Shagun Sweets & Foods,Yes,No,3.5,221,"080 42277117
+91 9108457117",BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400,Delivery,Koramangala 4th Block,Medium,Good
Tetto,Yes,No,3.7,130,"+91 8025634444
+91 8861036118",Koramangala 1st Block,"Casual Dining, Bar","Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers",Continental,1200,Delivery,Koramangala 4th Block,Premium,Good
Waffle Magic,Yes,No,4.1,86,080 49652808,Koramangala 6th Block,Cafe,Waffles,"Cafe, Desserts",700,Delivery,Koramangala 4th Block,Medium,Excellent
Nuts Over Salads Cafe,Yes,Yes,4.4,204,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad",800,Delivery,Koramangala 4th Block,Premium,Excellent
Axomi - Taste of Assam,Yes,No,4.1,613,"+91 9620664830
+91 8861961633",Koramangala 7th Block,Casual Dining,"Thali, Duck Curry, Fish, Brinjal Fry, Aloo Pitika, Chicken Curry, Lime Soda",Assamese,500,Delivery,Koramangala 4th Block,Medium,Excellent
Under The Tree,Yes,No,3,64,"080 25351493
+91 9740197320",Domlur,Dessert Parlor,Sandwich,"Desserts, Juices, Fast Food",200,Delivery,Koramangala 4th Block,Low,Good
Dwaraka Krishna,Yes,No,3.7,328,"+91 9538833223
+91 9742044034",BTM,"Takeaway, Delivery","Biryani, Shahi Paneer","North Indian, Biryani, Chinese",500,Delivery,Koramangala 4th Block,Medium,Good
Stoner,Yes,No,4.5,2611,"080 41253030
+91 9849012123",Koramangala 5th Block,"Dessert Parlor, Cafe","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Delivery,Koramangala 4th Block,Medium,Excellent
Napoli Italian Bistro,Yes,Yes,4.1,1061,"080 22580999
+91 9343011648",HSR,"Casual Dining, Bar","Pasta, Pizza, Chocolate Bomb, Wine, Ginger Lime Mojito, Tiramisu, Watermelon Mojito","Italian, Mexican, Continental, Pizza",1200,Delivery,Koramangala 4th Block,Premium,Excellent
Hyderabad Biryaani House,Yes,No,4.1,1115,"080 65754353
+91 7204344343",Koramangala 5th Block,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750,Delivery,Koramangala 4th Block,Premium,Excellent
Makers of Milkshakes,Yes,No,4.2,55,+91 7411568300,Koramangala 5th Block,Beverage Shop,"Vanilla Ice Cream, Chocolate Milkshake",Beverages,400,Delivery,Koramangala 4th Block,Medium,Excellent
Nutri Rich,Yes,No,3.8,53,+91 8043761506,Koramangala 7th Block,Quick Bites,"Pizza, Spinach Curry, Salad",Healthy Food,350,Delivery,Koramangala 4th Block,Medium,Good
Waffle Head,Yes,No,4,36,080 49653258,BTM,"Dessert Parlor, Beverage Shop","Marshmallow, Chocolate Waffles","Desserts, Beverages, Bakery, Ice Cream",300,Delivery,Koramangala 4th Block,Low,Excellent
Lot Like Crepes,Yes,No,4.6,1026,"+91 9742293475
080 65650566",Koramangala 7th Block,"Cafe, Dessert Parlor","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental",550,Delivery,Koramangala 4th Block,Medium,Excellent
Soup'ermanz Kitchen,Yes,No,4.1,441,"+91 7795076877
+91 7259725921",HSR,Cafe,"Crispy Chicken, Pasta, Burgers, Pizza, Chicken Burger, Clear Soup, Brownie","Cafe, Continental, Burger",750,Delivery,Koramangala 4th Block,Premium,Excellent
The Rasaganga,Yes,No,3.9,163,+91 8197399958,HSR,Quick Bites,"Coffee, Dahi Vada, Chaat","South Indian, North Indian, Chinese, Street Food",300,Delivery,Koramangala 4th Block,Low,Good
Barbeque Delight,Yes,No,3.8,66,+91 9538670393,Koramangala 5th Block,Casual Dining,"Tandoori Chicken, Paratha","Arabian, Kerala, North Indian, Chinese, BBQ",800,Delivery,Koramangala 4th Block,Premium,Good
Tapri By The Corner,Yes,No,4.1,205,+91 7349385173,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",Fast Food,250,Delivery,Koramangala 4th Block,Low,Excellent
Koramangala Social,Yes,No,4.6,4686,"080 43723295
080 43723095",Koramangala 7th Block,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","American, North Indian, Chinese, Finger Food",1500,Delivery,Koramangala 4th Block,Premium,Excellent
Tibetan Mother's Kitchen,Yes,No,4,958,"+91 8041739260
+91 8553085570",Koramangala 7th Block,Casual Dining,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken","Tibetan, Chinese, Momos",500,Delivery,Koramangala 4th Block,Medium,Excellent
WAFL Co,Yes,No,4.2,53,080 43758178,Koramangala 5th Block,Dessert Parlor,"Waffles, Pancakes, Oreo Waffle","Desserts, Beverages",400,Delivery,Koramangala 4th Block,Medium,Excellent
Sri Dalma,Yes,No,3.8,77,+91 9972168855,HSR,Quick Bites,"Thali, Mutton Handi","Oriya, Bengali",350,Delivery,Koramangala 4th Block,Medium,Good
Anda Ka Funda,Yes,No,3.2,64,+91 9902666308,BTM,Quick Bites,"Paratha, Rolls, Roti","North Indian, Chinese, Rolls",250,Delivery,Koramangala 4th Block,Low,Good
Bangalore Cafe,Yes,No,3.7,197,+91 8049796655,HSR,Quick Bites,"Sabudana Vada, Masala Dosa, Filter Coffee, Pesarattu Upma, Podi Idli, Mirchi Bajji, Pongal","South Indian, Fast Food",400,Delivery,Koramangala 4th Block,Medium,Good
Sri Krishna Sagar,Yes,No,3.5,235,"080 22581133
080 22583933",HSR,Quick Bites,"Coffee, Vada, Chaat, Rava Idli","South Indian, North Indian, Chinese, Street Food, Juices",400,Delivery,Koramangala 4th Block,Medium,Good
Healthie,Yes,No,3.9,106,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"Chicken Grill, Sandwich","Healthy Food, Beverages",600,Delivery,Koramangala 4th Block,Medium,Good
Rusbury Fresh Sweets And Savouries,Yes,No,4,71,+91 7338057730,HSR,Sweet Shop,"Panipuri, Chaat, Rasmalai, Samosa, Pav Bhaji","Mithai, Street Food",200,Delivery,Koramangala 4th Block,Low,Excellent
PSV's Andhra Paradise,Yes,No,3.5,117,"080 65589315
+91 8884077772",HSR,Casual Dining,"Chicken Guntur, Biryani, Thali","Andhra, Chinese, North Indian, Hyderabadi",600,Delivery,Koramangala 4th Block,Medium,Good
Tea Villa Cafe,Yes,Yes,4.2,872,080 33512986,HSR,"Cafe, Casual Dining","Tea, Waffles, Pasta, Spaghetti, Sandwiches, Ratatouille, Nutella Waffle","Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",800,Delivery,Koramangala 4th Block,Premium,Excellent
The Paramount Hotel,Yes,No,2.9,321,"+91 9743520000
+91 9743530000",Domlur,Casual Dining,"Egg Paratha, Tangdi Kabab, Butter Chicken, Ghee Rice, Faluda, Shawarma, Chicken Kebab","North Indian, Chinese, Kerala, Mughlai, Arabian, Beverages",1000,Delivery,Koramangala 4th Block,Premium,Poor
Gramin,Yes,No,4.3,3455,+91 8041104104,Koramangala 7th Block,Casual Dining,"Chaach, Bhindi Anardana, Thandai, Jal-jeera, Lunch Thali, Sweet Lassi, Crispy Babycorn",North Indian,600,Delivery,Koramangala 4th Block,Medium,Excellent
Smise,Yes,Yes,4,1208,"080 48659933
+91 8147068300",Koramangala 4th Block,Cafe,"Seafood Pizza, Pasta, Mocktails, Brownie, Tenderloin Burger, Burgers, Exotic Veg Pizza","Cafe, Continental, Italian, Burger, Pizza",650,Delivery,Koramangala 4th Block,Medium,Excellent
Bearfoot Cafe,Yes,No,4.2,174,+91 8904044405,Koramangala 6th Block,Cafe,"Cappuccino, Burgers, Fish, Pizza, Coffee, White Sauce Pasta, Fries",Cafe,600,Delivery,Koramangala 4th Block,Medium,Excellent
Baba Chatkora,Yes,No,4.2,821,"+91 9945640717
+91 9886484223",Koramangala 6th Block,Casual Dining,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap",North Indian,1000,Delivery,Koramangala 4th Block,Premium,Excellent
Laddoos,Yes,No,3.4,277,080 40991947,BTM,"Quick Bites, Dessert Parlor","Chaat, Panipuri, Lassi, Gol Gappe, Paratha, Pav Bhaji, Samosa","North Indian, Street Food, Mithai",250,Delivery,Koramangala 4th Block,Low,Good
The Egg Factory,Yes,No,4,138,"080 49777725
+91 9606867098",HSR,Casual Dining,"Shakshouka, Kothu Paratha, Scrambled Eggs, Pasta, English Breakfast, Cheese Omelette, Masala Omelette","Continental, American",750,Delivery,Koramangala 4th Block,Premium,Excellent
Keventers,Yes,No,4,168,080 45128769,Koramangala 5th Block,"Beverage Shop, Dessert Parlor","Kit Kat Shake, Thick Shakes, Rasmalai, Oreo Shake, Chocolate Hazelnut, Milk Shake, Choco Hazelnut","Desserts, Beverages, Ice Cream",400,Delivery,Koramangala 4th Block,Medium,Excellent
Paisa Vasool,Yes,No,3.3,394,+91 9718221004,Koramangala 7th Block,Quick Bites,"Fish Thali, Aloo Paratha",North Indian,400,Delivery,Koramangala 4th Block,Medium,Good
Uptown Sliders & Shakes,Yes,No,3.9,113,"+91 9742686969
+91 9986454535",HSR,Quick Bites,"Burgers, Strawberry Shake, Fries, Pancakes, Chicken Salad, Lamb","Burger, Fast Food, Beverages",600,Delivery,Koramangala 4th Block,Medium,Good
Davanagere Benne Dose,Yes,No,3.9,106,+91 9916751528,HSR,Quick Bites,Benne Dosa,South Indian,150,Delivery,Koramangala 4th Block,Low,Good
Malabar Bay,Yes,Yes,4.2,1542,"+91 8033037820
+91 7829999500",BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta","Kerala, Seafood, Chinese, Biryani, Juices",800,Delivery,Koramangala 4th Block,Premium,Excellent
Pappu Chaiwalla,Yes,No,3.1,89,080 49721444,BTM,Quick Bites,"Ginger Chai, Ginger Tea, Pakoda, Paratha, Maggi, Pav Bhaji, Sulemani Chai","North Indian, Momos, Rolls, Fast Food",350,Delivery,Koramangala 4th Block,Medium,Good
Firangi Bake,Yes,No,4.1,95,+91 7710090007,BTM,Delivery,"Lasagne, Subz-e-royal Pot Rice","Mexican, Italian",600,Delivery,Koramangala 4th Block,Medium,Excellent
Pot Biryani,Yes,No,3.9,462,"+91 9900025811
+91 9900025812",Domlur,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton","North Indian, Chinese, Biryani, Seafood",600,Delivery,Koramangala 4th Block,Medium,Good
Sweet Chariot,Yes,No,4,186,"080 41216704
080 41216705",Koramangala 7th Block,"Bakery, Dessert Parlor","Donut, Chocolate Mousse, Chocolate Cake, Cheesecake, Chicken Wings","Bakery, Fast Food",500,Delivery,Koramangala 4th Block,Medium,Excellent
Pizza Stop,Yes,No,3.2,166,080 43704050,Domlur,Quick Bites,"Pasta, Supreme Pizza, Thin Crust Pizza, Cheesy Garlic Bread","Pizza, Italian",600,Delivery,Koramangala 4th Block,Medium,Good
Pizza Cart,Yes,No,3.8,80,"+91 7338233337
+91 7338433337",HSR,Quick Bites,"Pizza, Rolls, Burgers",Pizza,800,Delivery,Koramangala 4th Block,Premium,Good
Kairali,Yes,No,3.9,171,+91 9844034033,BTM,Quick Bites,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani","Kerala, South Indian, Seafood, Biryani",300,Delivery,Koramangala 4th Block,Low,Good
Krem,Yes,No,4.1,61,080 49653345,Koramangala 5th Block,Dessert Parlor,"Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae","Desserts, Ice Cream, Beverages, Sandwich",450,Delivery,Koramangala 4th Block,Medium,Excellent
